id,type,closeMatch,exactMatch,mappingRelation,semanticRelation,definition,inScheme,member,notation,note,prefLabel,theme,broader,broaderTransitive,narrower,narrowerTransitive,topConceptOf,belongsTo,hasTopConcept
http://www.eionet.europa.eu/gemet/concept/1029,http://www.w3.org/2004/02/skos/core#Concept,http://www.eionet.europa.eu/gemet/concept/1029|https://data.omgeving.vlaanderen.be/id/concept/gebouw/gebouw,http://www.eionet.europa.eu/gemet/concept/1029|https://data.omgeving.vlaanderen.be/id/concept/gebouw/gebouw,http://www.eionet.europa.eu/gemet/concept/1029|https://data.omgeving.vlaanderen.be/id/concept/gebouw/gebouw,http://www.eionet.europa.eu/gemet/concept/1029|https://data.omgeving.vlaanderen.be/id/concept/gebouw/gebouw,null,null,null,null,null,null,null,null,null,null,null,null,null,null
http://www.eionet.europa.eu/gemet/concept/1033,http://www.w3.org/2004/02/skos/core#Concept,http://www.eionet.europa.eu/gemet/concept/1033|https://data.omgeving.vlaanderen.be/id/concept/gebouw/gebouwonderdeel,http://www.eionet.europa.eu/gemet/concept/1033|https://data.omgeving.vlaanderen.be/id/concept/gebouw/gebouwonderdeel,http://www.eionet.europa.eu/gemet/concept/1033|https://data.omgeving.vlaanderen.be/id/concept/gebouw/gebouwonderdeel,http://www.eionet.europa.eu/gemet/concept/1033|https://data.omgeving.vlaanderen.be/id/concept/gebouw/gebouwonderdeel,null,null,null,null,null,null,null,null,null,null,null,null,null,null
http://www.eionet.europa.eu/gemet/concept/1355,http://www.w3.org/2004/02/skos/core#Concept,http://www.eionet.europa.eu/gemet/concept/1355|https://data.omgeving.vlaanderen.be/id/concept/gebouw/schoorsteen,http://www.eionet.europa.eu/gemet/concept/1355|https://data.omgeving.vlaanderen.be/id/concept/gebouw/schoorsteen,http://www.eionet.europa.eu/gemet/concept/1355|https://data.omgeving.vlaanderen.be/id/concept/gebouw/schoorsteen,http://www.eionet.europa.eu/gemet/concept/1355|https://data.omgeving.vlaanderen.be/id/concept/gebouw/schoorsteen,null,null,null,null,null,null,null,null,null,null,null,null,null,null
http://www.eionet.europa.eu/gemet/concept/9023,http://www.w3.org/2004/02/skos/core#Concept,http://www.eionet.europa.eu/gemet/concept/9023|https://data.omgeving.vlaanderen.be/id/concept/gebouw/muur,http://www.eionet.europa.eu/gemet/concept/9023|https://data.omgeving.vlaanderen.be/id/concept/gebouw/muur,http://www.eionet.europa.eu/gemet/concept/9023|https://data.omgeving.vlaanderen.be/id/concept/gebouw/muur,http://www.eionet.europa.eu/gemet/concept/9023|https://data.omgeving.vlaanderen.be/id/concept/gebouw/muur,null,null,null,null,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/collection/gebouw/verwaarlozing,http://www.w3.org/2004/02/skos/core#Collection,null,null,null,null,TODO,https://data.omgeving.vlaanderen.be/id/conceptscheme/gebouw,https://data.omgeving.vlaanderen.be/id/concept/gebouw/schoorsteen|https://data.omgeving.vlaanderen.be/id/concept/gebouw/buitenmuur|https://data.omgeving.vlaanderen.be/id/concept/gebouw/buitentimmerwerk|https://data.omgeving.vlaanderen.be/id/concept/gebouw/dakbedekking|https://data.omgeving.vlaanderen.be/id/concept/gebouw/dakgebinte|https://data.omgeving.vlaanderen.be/id/concept/gebouw/dakgoot|https://data.omgeving.vlaanderen.be/id/concept/gebouw/kroonlijst|https://data.omgeving.vlaanderen.be/id/concept/gebouw/lift|https://data.omgeving.vlaanderen.be/id/concept/gebouw/trap,co_verwaarlozing,TODO,Collectie van concepten die gebruikt worden binnen de applicatie verwaarlozing en leegstand.,http://www.eionet.europa.eu/gemet/theme/5,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/gebouw/buitenmuur,http://www.w3.org/2004/02/skos/core#Concept,null,null,null,https://data.omgeving.vlaanderen.be/id/concept/gebouw/gebouw|https://data.omgeving.vlaanderen.be/id/concept/gebouw/gebouwonderdeel|https://data.omgeving.vlaanderen.be/id/concept/gebouw/muur,TODO,https://data.omgeving.vlaanderen.be/id/conceptscheme/gebouw,null,buitenmuur,TODO,buitenmuur,http://www.eionet.europa.eu/gemet/theme/5,https://data.omgeving.vlaanderen.be/id/concept/gebouw/muur,https://data.omgeving.vlaanderen.be/id/concept/gebouw/gebouw|https://data.omgeving.vlaanderen.be/id/concept/gebouw/gebouwonderdeel|https://data.omgeving.vlaanderen.be/id/concept/gebouw/muur,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/gebouw/buitentimmerwerk,http://www.w3.org/2004/02/skos/core#Concept,null,null,null,https://data.omgeving.vlaanderen.be/id/concept/gebouw/gebouw|https://data.omgeving.vlaanderen.be/id/concept/gebouw/gebouwonderdeel,TODO,https://data.omgeving.vlaanderen.be/id/conceptscheme/gebouw,null,buitentimmerwerk,TODO,buitentimmerwerk,http://www.eionet.europa.eu/gemet/theme/5,https://data.omgeving.vlaanderen.be/id/concept/gebouw/gebouwonderdeel,https://data.omgeving.vlaanderen.be/id/concept/gebouw/gebouw|https://data.omgeving.vlaanderen.be/id/concept/gebouw/gebouwonderdeel,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/gebouw/dak,http://www.w3.org/2004/02/skos/core#Concept,null,null,null,https://data.omgeving.vlaanderen.be/id/concept/gebouw/gebouw|https://data.omgeving.vlaanderen.be/id/concept/gebouw/gebouwonderdeel|https://data.omgeving.vlaanderen.be/id/concept/gebouw/dakbedekking|https://data.omgeving.vlaanderen.be/id/concept/gebouw/dakgebinte|https://data.omgeving.vlaanderen.be/id/concept/gebouw/dakgoot,TODO,https://data.omgeving.vlaanderen.be/id/conceptscheme/gebouw,null,dak,TODO,dak,http://www.eionet.europa.eu/gemet/theme/5,https://data.omgeving.vlaanderen.be/id/concept/gebouw/gebouwonderdeel,https://data.omgeving.vlaanderen.be/id/concept/gebouw/gebouw|https://data.omgeving.vlaanderen.be/id/concept/gebouw/gebouwonderdeel,https://data.omgeving.vlaanderen.be/id/concept/gebouw/dakbedekking|https://data.omgeving.vlaanderen.be/id/concept/gebouw/dakgebinte|https://data.omgeving.vlaanderen.be/id/concept/gebouw/dakgoot,https://data.omgeving.vlaanderen.be/id/concept/gebouw/dakbedekking|https://data.omgeving.vlaanderen.be/id/concept/gebouw/dakgebinte|https://data.omgeving.vlaanderen.be/id/concept/gebouw/dakgoot,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/gebouw/dakbedekking,http://www.w3.org/2004/02/skos/core#Concept,null,null,null,https://data.omgeving.vlaanderen.be/id/concept/gebouw/gebouw|https://data.omgeving.vlaanderen.be/id/concept/gebouw/gebouwonderdeel|https://data.omgeving.vlaanderen.be/id/concept/gebouw/dak,TODO,https://data.omgeving.vlaanderen.be/id/conceptscheme/gebouw,null,dakbedekking,TODO,dakbedekking,http://www.eionet.europa.eu/gemet/theme/5,https://data.omgeving.vlaanderen.be/id/concept/gebouw/dak,https://data.omgeving.vlaanderen.be/id/concept/gebouw/gebouw|https://data.omgeving.vlaanderen.be/id/concept/gebouw/gebouwonderdeel|https://data.omgeving.vlaanderen.be/id/concept/gebouw/dak,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/gebouw/dakgebinte,http://www.w3.org/2004/02/skos/core#Concept,null,null,null,https://data.omgeving.vlaanderen.be/id/concept/gebouw/gebouw|https://data.omgeving.vlaanderen.be/id/concept/gebouw/gebouwonderdeel|https://data.omgeving.vlaanderen.be/id/concept/gebouw/dak,TODO,https://data.omgeving.vlaanderen.be/id/conceptscheme/gebouw,null,dakgebinte,TODO,dakgebinte,http://www.eionet.europa.eu/gemet/theme/5,https://data.omgeving.vlaanderen.be/id/concept/gebouw/dak,https://data.omgeving.vlaanderen.be/id/concept/gebouw/gebouw|https://data.omgeving.vlaanderen.be/id/concept/gebouw/gebouwonderdeel|https://data.omgeving.vlaanderen.be/id/concept/gebouw/dak,null,null,null,null,null
